4007004,708
3338788,21
2670571,71
2002325,135
1334108,599
665892,2356
-2324,309286
-670570,8847
-1338787,385
-2007003,883
2945286,311
2425215,026
1905143,739
1385049,044
864977,7205
344906,5706
-175164,7613
-695259,4571
-1215330,744
-1735402,03
1982331,316
1610405,256
1238479,194
866536,3911
494610,293
122684,3685
-249241,738
-621184,5418
-993110,6035
-1365036,663
1118103,007
894328,8621
670554,7155
446770,4941
222996,3108
-777,6987923
-224551,8904
-448336,1124
-672110,2592
-895884,4042
352679,0401
277050,1937
201421,3456
125789,0894
50160,20473
-25468,50629
-101097,3993
-176729,6559
-252358,5036
-327987,3427
-313982,1438
-241465,5469
-168948,936
-96429,08115
-23912,5189
48604,21738
121120,7718
193640,6291
266157,2285
338673,8296
-881884,468
-661221,3968
-440558,3269
-219885,3316
777,702235
221440,9098
442103,9356
662776,9308
883440,0016
1104103,074
-1351018,435
-982207,5136
-613396,5935
-244569,0815
124241,8021
493052,8594
861863,7347
1230691,246
1599502,166
1968313,088
-1721389,845
-1204432,355
-687474,8663
-170494,1192
346463,3327
863420,9583
1380378,402
1897359,148
2414316,637
2931274,127
-1992992,791
-1327889,845
-662786,9008
2345,968728
667448,8764
1332551,958
1997654,857
2662787,726
3327890,67
3992993,616
